question,document
Is there a simple method in Pandas to calculate quantiles for one column?,b4c8ac5a0c
How do I use `quantile()` on a Pandas DataFrame column?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the running ones?",66ccbb7da0
What’s the command to force-delete all Docker images on my machine?,66ccbb7da0
How can I remove every Docker volume using the command line?,66ccbb7da0
"Is there a quick way to clean up all containers, images, and volumes in Docker at once?",66ccbb7da0
"What terminal commands should I use to fully reset Docker by deleting containers, images, and volumes?",66ccbb7da0
Why does my Streamlit session state keep setting `submitted` back to True after I click a feedback button?,2e729f1271
How can I make sure a user can only leave one feedback vote per submission in Streamlit?,2e729f1271
"My ask button sets `st.session.submitted`, but the feedback buttons still seem to re-enable themselves — what am I missing?",2e729f1271
Is there a known Streamlit session state issue where an attribute gets reassigned even after a button press?,2e729f1271
Where can I find the fix for `st.session.submitted` getting overwritten in my feedback flow?,2e729f1271
"Why do I get ""streamlit: executable file not found in $PATH"" when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What should I check in my Docker setup if docker-compose fails with an OCI runtime create error for a Streamlit app?,e8df9f0d12
Do I need a Dockerfile for a Streamlit app before running it with docker-compose?,e8df9f0d12
How can I fix the docker-compose issue where the container can't find the streamlit command?,e8df9f0d12
"After changing my docker-compose setup for Streamlit, what command should I run to rebuild and launch everything again?",e8df9f0d12
"Can we do the capstone as a team, or does each person need to submit their own project?",0fab61eca2
"If two students work on the same system, is that allowed for the capstone?",0fab61eca2
Do we need a separate repository for each student in a shared project idea?,0fab61eca2
What happens if the project can't be judged separately for every person involved?,0fab61eca2
Are students allowed to discuss or collaborate on a bigger capstone idea even though the final submission is individual?,0fab61eca2
"Do I have to turn in two capstone projects, or is one enough?",d5fc98925d
What’s the difference between attempt 1 and attempt 2 for the project submission?,d5fc98925d
"If my first project submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice, and do they need to be on different topics?",d5fc98925d
"If I miss the first submission window, can I still submit in the second one and count it toward the course?",d5fc98925d
"Is the competition considered the capstone project, or is that separate?",e892d44e42
"Can we submit the competition work as our capstone, or do we need something else?",e892d44e42
"Are teams allowed for the capstone, since the competition lets us group up?",e892d44e42
"If I join the math-kaggle-llm-competition with others, does that count toward the capstone requirement?",e892d44e42
Is the capstone supposed to be done alone even if I participate in the competition with a team?,e892d44e42
How will my capstone project be graded in the end?,9a2e2d2008
Who checks the project after I submit it?,9a2e2d2008
Do I also need to review other students' capstone projects?,9a2e2d2008
What happens if I don't grade the required number of peer projects?,9a2e2d2008
Is the final score based on all reviewer grades or some kind of average?,9a2e2d2008
How are capstone projects assigned for peer review after the deadline?,eae0fb50aa
What happens once the submission deadline passes for project grading?,eae0fb50aa
Will each participant get more than one project to review in the capstone project?,eae0fb50aa
How many projects are assigned to every participant for review?,eae0fb50aa
"Is there an Excel sheet with the project review assignments, and when is it shared?",eae0fb50aa
"I already turned in my capstone project, so why don’t I see anything to review yet?",a8a7fef016
"After the deadline passes, do I get to pick which student projects I review, or are they assigned to me?",a8a7fef016
Why is the project review section empty even though I submitted my own project already?,a8a7fef016
"Can I start evaluating projects before the list is released, or do I have to wait?",a8a7fef016
"Once submissions are closed, how does the project review assignment work for us?",a8a7fef016
Where can I look for project ideas and possible datasets for this capstone?,e76a70cde3
Is there a page with examples of datasets I can use for the project?,e76a70cde3
What’s the best place to find tips and guidelines for the capstone project topic?,e76a70cde3
Can you point me to a GitHub page with project ideas and dataset suggestions?,e76a70cde3
I’m stuck on choosing a topic — where should I go to get some inspiration and data sources?,e76a70cde3
"Do I need Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"Can I use a Jupyter notebook instead of an orchestration tool for the ingestion part, and how does that affect the score?",d4f7c08ea1
Is an orchestrator required only to get full points on the ingestion pipeline criterion?,d4f7c08ea1
When would it make sense to use an orchestration tool in the capstone project instead of plain Python?,d4f7c08ea1
"Should I add an orchestrator just to satisfy the project rubric, or only if my data updates regularly?",d4f7c08ea1
How can I test a recommender-style RAG when I don't have clear ground-truth answers?,9b0e2d6a47
What's a good way to create synthetic evaluation data for my item retrieval project?,9b0e2d6a47
"Can I use an LLM as a judge to score my RAG output end to end, and how would that work?",9b0e2d6a47
"For ranking tasks with several valid results, should I use hit rate or NDCG?",9b0e2d6a47
"How do I measure whether my retriever is putting the right item near the top, not just somewhere in the list?",9b0e2d6a47
What chunking method should I use first for a big corpus with long PDFs and lots of paragraphs?,6f2a8b3d10
"Is it worth asking an LLM to split documents into sections before indexing, or should I just use fixed-size chunks?",6f2a8b3d10
How can I make retrieval better for long structured docs like legal or financial files where exact wording matters?,6f2a8b3d10
"Would adding a short summary to every chunk actually help search, and how do I use it?",6f2a8b3d10
Which tools are good for turning PDFs into cleaner markdown before I chunk them?,6f2a8b3d10
"For the capstone, what counts as reproducible — do reviewers actually need my API keys or hosted credentials?",e5d8a2c761
How should I set up the repo so someone can clone it and rebuild the search index from scratch?,e5d8a2c761
"Is it okay to commit a `.env` file, or should I only include something like `.env.example`?",e5d8a2c761
What model should I use in the project so the reviewer doesn’t spend too many credits running it?,e5d8a2c761
"What versions do I need to lock down in the project, like Python, Docker, or package dependencies?",e5d8a2c761
"Is it okay to do the homework and capstone in JavaScript or Go instead of Python, or do you really want Python only?",ea815eb858
"If I build my project in Rust or TypeScript, will that be accepted, and what extra stuff should I add for the reviewer?",ea815eb858
"Can I use another stack for the final project, or do I need to stick with Python because the course examples are all in Python?",ea815eb858
"How detailed does the README need to be if I choose Java, Scala, C#, or R for the project?",ea815eb858
"If I don’t use Python, what should I include so my homework or capstone is still easy to run and check on different OSes?",ea815eb858
Where can I see past LLM Zoomcamp capstone project submissions?,930286278d
Is there a place to browse older LLM Zoomcamp projects from 2024 and 2025?,930286278d
Can you share links to previous LLM Zoomcamp project repos so I can check the scope?,930286278d
I want to look at earlier capstone examples for LLM Zoomcamp — where are they listed?,930286278d
Where do I find submitted LLM Zoomcamp projects from past years to get a sense of the expected quality?,930286278d
Do I need to reserve my capstone project idea before I start working on it?,897a350476
Is there any step to announce my project topic before doing the capstone?,897a350476
Can I just begin a project without asking for approval or booking the idea first?,897a350476
"If two students choose a similar capstone topic, is that allowed?",897a350476
Where can I ask for feedback on my project idea and check what kind of scope previous projects had?,897a350476
Can I build my capstone as a WhatsApp or Telegram bot instead of a web app?,7318a90b14
"Is a CLI, notebook, or Slack app okay for the project interface?",7318a90b14
Are there any rules about how the end user should access the capstone project?,7318a90b14
Does the course require me to use a web app for the project?,7318a90b14
"Will the course show me how to make the interface, or do I need to handle that myself?",7318a90b14
"What are people usually using to pull text out of PDFs for a RAG app, especially when the docs are messy or scanned?",d8b28c47a0
"If my PDFs are image-based and don’t have selectable text, what OCR option should I try first?",d8b28c47a0
Is there a recommended library in the course for converting PDFs into Markdown or JSON for retrieval projects?,d8b28c47a0
Can I use a hosted OCR API instead of running Tesseract locally for scanned documents?,d8b28c47a0
How do I know which PDF extraction tool is best for my documents before I start chunking them?,d8b28c47a0
"Can I reuse the workshop content in my own capstone project, or is it only for the workshop itself?",d850a0e7ea
"Is it okay to apply dlt from this workshop in another Zoomcamp project, like the MLOps one?",d850a0e7ea
"Since dlt is open source, does that mean I’m allowed to use these materials in my own work?",d850a0e7ea
Can I share or reuse the workshop examples when building my own projects?,d850a0e7ea
"If I want to use dlt outside this workshop, is that totally fine?",d850a0e7ea
How do I start a new dlt project if I want to load data from cloud storage?,6bceeebf04
What command should I run to initialize a dlt filesystem to DuckDB pipeline?,6bceeebf04
I'm getting started with dlt and cloud files — what's the setup command?,6bceeebf04
Is there a quick way to create a dlt project for loading from a filesystem source?,6bceeebf04
Where do I begin if I want to initialize dlt for a filesystem-to-duckdb workflow?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name in one place, but opening `notion_pages___homework` still fails — what am I missing?",0407213397
What causes the `FileNotFoundError` for `notion_pages___homework` in the dlt workshop homework?,0407213397
"How do I fix the issue where `db.open_table(""notion_pages___homework"")` says the table doesn't exist?",0407213397
Is there another config name besides `homework` that I need to replace when renaming the pipeline table?,0407213397
Why do I get FileNotFoundError saying the notion_pages___homework table does not exist when I run main()?,e95bfafc0e
"In the dlt workshop, what should I use on line 3 to open the homework table correctly?",e95bfafc0e
"How do I fix the error about db.create_table(notion_pages___homework, data) not being called?",e95bfafc0e
Is the problem caused by opening the wrong table name in the Notion pages homework code?,e95bfafc0e
What exact table should I open if main() fails with a missing notion_pages___homework table error?,e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a simple way to list all tables in the DB?,e394e6f738
What method should I use to see the table names in the database?,e394e6f738
How do I find out which tables were created in my database?,e394e6f738
Can I print all table names from the database somehow?,e394e6f738
"Does dlt support ClickHouse or StarRocks connectors yet, or are those still missing?",cd19f122f3
Is there any built-in way to load data from dlt into ClickHouse or StarRocks?,cd19f122f3
"If dlt doesn’t have ClickHouse and StarRocks connectors, can the community add them?",cd19f122f3
Are ClickHouse and StarRocks on the list of available dlt destinations right now?,cd19f122f3
What’s the status of connector support for ClickHouse and StarRocks in dlt?,cd19f122f3
Why am I getting a 401 Unauthorized when the notebook calls the Notion API search endpoint?,0dfba07ace
What should I check first if my notebook says it has no secret access for Notion?,0dfba07ace
Could this Notion API error be caused by the token being wrong or expired?,0dfba07ace
How do I troubleshoot authorization problems with api.notion.com in this workshop notebook?,0dfba07ace
"If the notebook cannot access Notion, what permissions or config settings do I need to verify?",0dfba07ace
"Why am I getting a 401 Client Error when using the key in this dlt workshop, and how do I tell if it’s an access issue or the key itself is wrong?",4b30b918bc
How can I make pip install the exact requests version needed for lancedb instead of the older one it keeps pulling?,4b30b918bc
What’s the proper pip command to install requests directly from the GitHub release zip for v2.32.3?,4b30b918bc
"In the open-source data ingestion workshop, what should I do if requests only installs v2.28 but the setup needs v2.32.3?",4b30b918bc
Is there a way to force-install the required requests version from source so lancedb works correctly?,4b30b918bc
